Publisher organization name,English,French,,,,,
aboriginal-business,Aboriginal Business Canada,Entreprise autochtone Canada,,,,,
administrative-tribunals-support-service,Administrative Tribunals Support Service of Canada,Service canadien d’appui aux tribunaux administratifs,,,,,
agriculture-agri-food,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,,,,,
army,Canadian Army,Armée canadienne,,,,,
atlantic-canada-opportunities,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,,,,,
canada-border-services-agency,Canada Border Services Agency,Agence des services frontaliers du Canada,,,,,
canada-employment-insurance-commission,Canada Employment Insurance Commission,Commission de l'assurance-emploi du Canada,,,,,
canada-infrastructure-bank,Canada Infrastructure Bank,Banque de l’infrastructure du Canada,,,,,
canada-research-coordinating-committee,Canada Research Coordinating Committee,Canada Research Coordinating Committee,,,,,
canadian-accessibility-standards-development-organization,Canadian Accessibility Standards Development Organization,Organisation canadienne d'élaboration de normes d'accessibilité,,,,,
canadian-centre-for-occupational-health-and-safety,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail,,,,,
canadian-coast-guard,Canadian Coast Guard,Garde côtière canadienne,,,,,
canadian-heritage,Canadian Heritage,Patrimoine canadienne,,,,,
canadian-international-trade-tribunal,Canadian International Trade Tribunal,Tribunal canadien du commerce extérieur,,,,,
canadian-northern-economic-development-agency,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord,,,,,
canadian-nuclear-safety-commission,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,,,,,
canadian-radio-television-and-telecommunications-commission,Canadian Radio­television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes,,,,,
canadian-security-intelligence-service,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,,,,,
canadian-transportation-accident-investigation-and-safety-board,Canadian Transportation Accident Investigation and Safety Board,Bureau canadien d'enquête sur les accidents de transport et de la sécurité des transports,,,,,
central-innovation-hub,Central Innovation Hub,Central Innovation Hub,,,,,
communications-security,Communications Security Establishment,Centre de la sécurité des télécommunications,,,,,
competition-bureau,Competition Bureau Canada,Bureau de la concurrence Canada,,,,,
competition-tribunal,Competition Tribunal,Tribunal de la concurrence,,,,,
conservation-institute,Canadian Conservation Institute,Institut canadien de conservation,,,,,
correctional-service,Correctional Service of Canada,Service correctionnel du Canada,,,,,
crown-indigenous-relations-and-northern-affairs-canada,Department of Crown-Indigenous Relations and Northern Affairs,Ministère des Relations Couronne-Autochtones et des Affaires du Nord,,,,,
democratic-institutions,Democratic Institutions,Institutions démocratiques,,,,,
department-finance,Department of Finance,Ministère des Finances,,,,,
department-justice,Department of Justice,Ministère de la Justice,,,,,
department-national-defense,Department of National Defence,Ministère de la Défense nationale,,,,,
department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l'Immigration,,,,,
department-of-employment-and-social-development,Department of Employment and Social Development,Ministère de l'Emploi et du Développement social,,,,,
department-of-foreign-affairs-trade-and-development,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement",,,,,
department-of-health,Department of Health,Ministère de la Santé,,,,,
department-of-indian-affairs-and-northern-development,Department of Crown-Indigenous Relations and Northern Affairs,Ministère des Relations Couronne-Autochtones et des Affaires du Nord,,,,,
