"URL","Language","Title","Has Alert","H2","Breadcrumb LVL2 Name","Breadcrumb LVL2 URL","Breadcrumb LVL3 Name","Breadcrumb LVL3 URL","Breadcrumb LVL4 Name","Breadcrumb LVL4 URL","Last Modified","Last Crawled","Author","dcterms.subject","dcterms.audience","dcterms.type","desc"
"https://www.competitionbureau.gc.ca/eic/site/cb-bc.nsf/eng/h_00010.html","en","Media relations - Competition Bureau Canada","true","Media relations; Service interruption; Media enquiries",,,,,,,"2020-03-31T06:45:18Z","2020-03-31T06:45:18.731Z","Competition Bureau Canada",,,,"Contains names, telephone and title of media relations contacts at the Competition Bureau."
"https://www.competitionbureau.gc.ca/eic/site/cb-bc.nsf/eng/00157.html","en","Contact us - Competition Bureau Canada","true","Contact us; Service interruption; Information Centre; Other contacts",,,,,,,"2020-03-31T06:45:18Z","2020-03-31T06:45:18.398Z","Competition Bureau Canada",,,,"Contains information on how to contact us by telephone/fax, or mail, as well as an online form to submit your questions."
"https://www.canada.ca/en/public-health/services/publications/diseases-conditions/travellers-with-symptoms-return-canada.html","en","Coronavirus disease (COVID-19): Travellers with symptoms returning to Canada","false","Mandatory isolation; It is very important that you:; Continue to monitor your health for:; Public health authorities; FOR MORE INFORMATION:","Health","/en/services/health.html","Diseases and conditions","/en/public-health/services/diseases.html","Coronavirus disease (COVID-19)","/en/public-health/services/diseases/coronavirus-disease-covid-19.html","2020-03-31T00:00:00Z","2020-03-31T02:50:30.750Z","Public Health Agency of Canada",,,"education and awareness; contact us","Important instructions regarding COVID-19 (coronavirus) for travellers returning to Canada with symptoms: self-isolate, continue to monitor your health, if you experience symptoms, preventative measures, and telephone numbers and websites for Public Health Authorities."
"https://www.canada.ca/en/immigration-refugees-citizenship/services/coronavirus-covid19/passport.html","en","How the coronavirus disease (COVID-19) is affecting immigration, refugees, citizenship and passport services: passport and travel documents","true","On this page; Urgent passport services in Canada; Non-urgent passport services in Canada; Travel document services in Canada (certificate of identity or refugee travel document); If you’re outside Canada; Updates and related links","Immigration, Refugees and Citizenship Canada","/en/immigration-refugees-citizenship.html","How COVID-19 is affecting IRCC","/en/immigration-refugees-citizenship/services/coronavirus-covid19.html",,,"2020-03-30T00:00:00Z","2020-03-31T06:00:39.308Z","Immigration, Refugees and Citizenship Canada","GV Government and Politics; Policy; Immigration policy",,,"Passport: Special measures to help temporary and permanent residents and applicants affected by the novel coronavirus (COVID 19)."
"https://www.canada.ca/en/public-health/services/diseases/2019-novel-coronavirus-infection/awareness-resources.html","en","Coronavirus disease (COVID-19): Awareness resources","false","COVID-19 Virtual Assistant","Health","/en/services/health.html","Diseases and conditions","/en/public-health/services/diseases.html","Coronavirus disease (COVID-19)","/en/public-health/services/diseases/coronavirus-disease-covid-19.html","2020-03-30T00:00:00Z","2020-03-31T06:00:02.533Z","Public Health Agency of Canada",,,"navigation page; education and awareness","View and download Government of Canada easy to read resources on COVID-19 (coronavirus).  Some resources are available in multiple languages."
"https://www.canada.ca/en/health-canada/services/drugs-health-products/medical-devices/what-new.html","en","What's New - Medical Devices","false",,"Departments and agencies","/en/government/dept.html","Health Canada","/en/health-canada.html","Drugs and Health Products","/en/health-canada/services/drugs-health-products.html","2020-03-30T00:00:00Z","2020-03-31T06:36:43.737Z","Health Canada","HE Health and Safety","general public","navigation page; forms","Lists latest additions to the Medical Devices section of the Health Canada Web site"
"https://www.canada.ca/en/public-service-commission/information-human-resources-specialists/advice-alternative-methods-second-language-evaluation.html","en","Advice on alternative methods for second language evaluation: Coronavirus disease (COVID-19)","false","Oral proficiency","Public Service Commission","/en/public-service-commission.html","Information for human resources specialists: Coronavirus disease (COVID-19)","/en/public-service-commission/information-human-resources-specialists.html",,,"2020-03-30T00:00:00Z","2020-03-31T06:36:42.503Z","Public Service Commission of Canada",,,,"Advice on alternative methods for second language evaluation"
"https://www.canada.ca/en/immigration-refugees-citizenship/services/coronavirus-covid19/refugees.html","en","How the coronavirus disease (COVID-19) is affecting immigration, refugees, citizenship and passport services: refugees","true","On this page:; Refugee sponsors and refugees overseas waiting to be resettled; Refugee claimants; Updates and related links","Immigration, Refugees and Citizenship Canada","/en/immigration-refugees-citizenship.html","How COVID-19 is affecting IRCC","/en/immigration-refugees-citizenship/services/coronavirus-covid19.html",,,"2020-03-30T00:00:00Z","2020-03-31T06:00:53.248Z","Immigration, Refugees and Citizenship Canada","GV Government and Politics; Policy; Immigration policy",,,"Find out how coronavirus disease (COVID-19) is affecting citizenship and immigration: refugees"
"http://surrey.rcmp-grc.gc.ca/ViewPage.action?contentId=-1&languageId=1&siteNodeId=1241","en","RCMP in British Columbia - Information Wanted","false","Related Products; Contacts","B.C.","/ViewPage.action?siteNodeId=14&languageId=1&contentId=-1","Public Alerts","/ViewPage.action?siteNodeId=37&languageId=1&contentId=-1",,,"2020-03-30T00:00:00Z","2020-03-31T06:00:54.923Z",,"Information Wanted",,,"To further these investigations we need your help"
"https://www.canada.ca/en/services/policing.html","en","Policing, justice and emergencies","false","Follow:; Services and information; Most requested",,,,,,,"2020-03-30T00:00:00Z","2020-03-31T06:37:33.302Z","Public Safety Canada",,"general public",,"Learn how we are keeping Canadians safe, how our justice system works, how to prepare your family for an emergency and where to find services for victims of crime."
"http://sidney.rcmp-grc.gc.ca/ViewPage.action?contentId=-1&languageId=1&siteNodeId=253","en","Sidney RCMP - Newsroom","false","Media Relations Officer","B.C.","http://bc.rcmp-grc.gc.ca/ViewPage.action?siteNodeId=14&languageId=1&contentId=-1","Sidney RCMP Home","/ViewPage.action?siteNodeId=247&languageId=1&contentId=-1",,,"2020-03-30T00:00:00Z","2020-03-31T06:38:22.676Z",,"Sidney RCMP Newsroom",,,"Sidney RCMP Newsroom"
"https://www.canada.ca/en/department-national-defence/services/cadets-junior-canadian-rangers/policy/cancdtgens/cancdtgen011-20.html","en","CANCDTGEN 011/20","false",,"National security and defence","/en/services/defence.html","Canadian Armed Forces","/en/services/defence/caf.html","Cadets and Junior Canadian Rangers","/en/department-national-defence/services/cadets-junior-canadian-rangers.html","2020-03-30T00:00:00Z","2020-03-31T06:37:27.463Z","National Defence",,,,"CANCDTGENs provide information about programs, policies, and events that affect all members of the Natl CJCR Sp Gp."
