"URL","Language","Title","Has Alert","H2","Breadcrumb LVL2 Name","Breadcrumb LVL2 URL","Breadcrumb LVL3 Name","Breadcrumb LVL3 URL","Breadcrumb LVL4 Name","Breadcrumb LVL4 URL","Last Modified","Last Crawled","Author","dcterms.subject","dcterms.audience","dcterms.type","desc"
"http://cb.rcmp-grc.gc.ca/ViewPage.action?contentId=-1&languageId=4&p=2&siteNodeId=28","fr","GRC en C.-B. - Salle de nouvelles","false","Produits; Contactez-nous; Twitter","C.-B.","/ViewPage.action?siteNodeId=14&languageId=4&contentId=-1",,,,,"2020-03-30T00:00:00Z","2020-03-31T06:01:18.664Z",,"Salle de nouvelles",,,"Les derniers communiqués de presse publiés par la GRC de la Colombie-Britannique."
"http://surrey.rcmp-grc.gc.ca/ViewPage.action?contentId=-1&languageId=4&siteNodeId=28","fr","GRC en C.-B. - Salle de nouvelles","false","Produits; Contactez-nous; Twitter","C.-B.","/ViewPage.action?siteNodeId=14&languageId=4&contentId=-1",,,,,"2020-03-30T00:00:00Z","2020-03-31T06:01:33.464Z",,"Salle de nouvelles",,,"Les derniers communiqués de presse publiés par la GRC de la Colombie-Britannique."
"https://www.canada.ca/fr/services/entreprises/maintenirfairecroitreameliorerentreprise/ressourcespourlesentreprisescanadiennes.html","fr","Ressources pour les entreprises canadiennes : COVID-19","true","Appel à l'action; Quatre considérations importantes pour les entreprises; 1. Soutien aux employés; 2. Soutien aux entreprises; 3. Voyages d'affaires et événements; 4. Faire des affaires à l'étranger; Liens connexes","Entreprises et industrie","/fr/services/entreprises.html","Maintenir et faire croître votre entreprise","/fr/services/entreprises/maintenirfairecroitreameliorerentreprise.html",,,"2020-03-30T00:00:00Z","2020-03-31T06:03:02.384Z","Service Canada","EC Économie et industrie",,"consultations","Dans une économie mondiale interconnectée, la nouvelle coronavirus (aussi appelée COVID-19) a une incidence sur les entreprises et leurs activités. Cela a entraîné des restrictions sur les voyages et les rassemblements publics, ainsi que des perturbations dans la chaîne d’approvisionnement et l’incertitude des marchés."
"https://www.canada.ca/fr/commission-fonction-publique/renseignements-specialistes-ressources-humaines/questions-reponses-specialistes-ressources-humaines.html","fr","Questions et réponses pour les spécialistes des ressources humaines : maladie à coronavirus (COVID-19)","false","Recrutement et dotation dans la fonction publique fédérale","Commission de la fonction publique","/fr/commission-fonction-publique.html","Renseignements à l’intention des spécialistes des ressources humaines : maladie à coronavirus (COVID-19)","/fr/commission-fonction-publique/renseignements-specialistes-ressources-humaines.html",,,"2020-03-30T00:00:00Z","2020-03-31T06:00:33.334Z","Commission de la fonction publique du Canada",,,,
"https://www.canada.ca/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/professionnels-sante/resume-epidemiologique-cas-covid-19.html","fr","Résumé épidémiologique des cas de COVID-19 au Canada","false","Sur cette page; Cas au fil du temps; Données démographiques; Symptômes et gravité; Milieu d’exposition probable; Rapports provinciaux et territoriaux","Santé","/fr/services/sante.html","Maladies et affections","/fr/sante-publique/services/maladies.html","Maladie à coronavirus (COVID-19)","/fr/sante-publique/services/maladies/maladie-coronavirus-covid-19.html","2020-03-30T00:00:00Z","2020-03-31T06:00:04.477Z","Agence de la santé publique du Canada","HE Santé et sécurité",,"ensembles de données; statistiques; éducation et sensibilisation","Résumé épidémiologique des cas de COVID-19 au Canada : Distribution geographique et temporel, demographique, symptômes et sévérité, source d’exposition, rapport des provinces et territoires."
"https://www.canada.ca/fr/agence-revenu/campagnes/mise-a-jour-covid-19/nouvelles-covid-19.html","fr","Mises à jour des nouvelles de COVID-19 : l'Agence du revenu du Canada","false",,"Agence du revenu du Canada","/fr/agence-revenu.html","COVID-19 : Changements apportés en matière d'impôt et de prestations Canadienne","/fr/agence-revenu/campagnes/mise-a-jour-covid-19.html",,,"2020-03-30T00:00:00Z","2020-03-31T06:00:29.738Z","Agence du revenu du Canada",,,,
"https://www.canada.ca/fr/services/prestations.html?lang=en","fr","Prestations","false","Promotions; En demande; Services et renseignements; En vedette",,,,,,,"2020-03-30T00:00:00Z","2020-03-31T06:36:58.446Z","Emploi et Développement social Canada","EC Économie et industrie; Avantages sociaux","grand public","page de navigation - page de thème","Comprend l’assurance-emploi, le Régime de pensions, ainsi que les prestations offertes pour le logement, les études, la formation, le soutien à la famille et l’aide aux personnes handicapées."
"https://www.international.gc.ca/world-monde/funding-financement/cfli-fcil/2020/china-chine.aspx?lang=fra","fr","Le Fonds canadien d’initiatives locales - Chine","false","Description du programme; Présentation d’une demande; Organisations admissibles à un financement du FCIL; Priorités thématiques; Analyse différenciée selon le genre; Frais admissibles; 项目简介; 如何报名; 有资格申请CFLI基金的组织; 优先领域; 基于性别的分析（GBA）; 符合条件的项目费用; 以下费用不适用于CFLI资助：","Canada et le monde","http://international.gc.ca/world-monde/index.aspx?lang=fra","Financement canadien - Initiatives internationales","http://international.gc.ca/world-monde/funding-financement/index.aspx?lang=fra","Financement canadien - Projets et initiatives dans des pays en développement","http://international.gc.ca/world-monde/funding-financement/funding_development_projects-financement_projets_developpement.aspx?lang=fra","2020-03-30T00:00:00Z","2020-03-31T06:46:34.514Z",,"Financement de l'éducation, Aide financière, Programme d'aide",,,"Le programme du FCIL appuie les projets de petite envergure qui ont des retombées importantes dans les pays en développement et qui concordent avec les priorités thématiques d’Affaires mondiales Canada en matière de coopération. Ce programme est axé sur des projets conçus par des partenaires locaux. Les projets sont sélectionnés et approuvés par l’ambassade ou le haut-commissariat du Canada concerné. Le FCIL sert également à soutenir les relations bilatérales positives entre le Canada et les pays bénéficiaires et leurs sociétés civiles, et ce, en approfondissant les échanges et en appuyant les initiatives locales."
"https://www.pc.gc.ca/fr/pn-np/ab/jasper/visit/covid-19-info","fr","La maladie à coronavirus (COVID-19) et votre visite au parc national Jasper - Parc national Jasper","false","La maladie à coronavirus (COVID-19) et votre visite au parc national Jasper","Parcs nationaux","/fr/pn-np","Parc national Jasper","/fr/pn-np/ab/jasper","Planifiez votre visite","/fr/pn-np/ab/jasper/visit","2020-03-30T00:00:00Z","2020-03-31T06:46:51.698Z",,"Parcs Canada",,,"Comment la COVID-19 peut affecter votre visite."
"https://www.pc.gc.ca/fr/lhn-nhs/pe/ardgowan/visit/covid-19-info","fr","La maladie à coronavirus (COVID-19) et votre visite au lieu historique national Ardgowan - Lieu historique national Ardgowan","false","La maladie à coronavirus (COVID-19) et votre visite au lieu historique national Ardgowan","Lieux historiques nationaux","/fr/lhn-nhs","Lieu historique national Ardgowan","/fr/lhn-nhs/pe/ardgowan","Planifiez votre visite","/fr/lhn-nhs/pe/ardgowan/visit","2020-03-30T00:00:00Z","2020-03-31T06:46:45.790Z",,"Parcs Canada",,,"Comment la COVID-19 peut affecter votre visite."
