Department English,Department French,URLs,,,,,,
Canada Border Services Agency,Agence des services frontaliers du Canada,www.cbsa-asfc.gc.ca,,,,,,
Canadian Army,Armée canadienne,www.army-armee.forces.gc.ca,,,,,,
TERMIUM Plus,TERMIUM Plus,www.btb.termiumplus.gc.ca,,,,,,
Global Affairs Canada,Affaires mondiales Canada,www.international.gc.ca,,,,,,
Royal Canadian Air Force,l'Aviation royale canadienne,www.rcaf-arc.forces.gc.ca,,,,,,
Canadian Anti-Fraud Centre,Centre antifraude du Canada,antifraudcentre-centreantifraude.ca,,,,,,
Royal Canadian Mounted Police,Gendarmerie royale du Canada,dawsoncreek.bc.rcmp-grc.gc.ca,,,,,,
Natural Resources Canada,Ressources naturelles Canada,www.nrcan.gc.ca,,,,,,
Correctional Service Canada,Service correctionnel Canada,www.csc-scc.gc.ca,,,,,,
Impact Canada,Impact Canada,impact.canada.ca,,,,,,
Royal Canadian Navy,Marine royale canadienne,www.navy-marine.forces.gc.ca,,,,,,
Privy Council Office,Bureau du Conseil privé,https://www.canada.ca/en/privy-council/services/orders-in-council.html?lang=en,,,,,,
Canada Savings Bonds,Obligations d'epargne du Canada,www.csb.gc.ca,,,,,,
Government of Canada Publications,publications.gc.ca,publications.gc.ca,,,,,,
Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail,www.ccohs.ca,,,,,,
Competition Bureau Canada,Bureau de la concurrence,www.competitionbureau.gc.ca,,,,,,
Immigration and citizenship,Immigration et citoyeneté,https://www.canada.ca/en/services/immigration-citizenship.html,,,,,,
Royal Canadian Mounted Police,Gendarmerie royale du Canada,http://surrey.rcmp-grc.gc.ca/ViewPage.action?siteNodeId=69&languageId=1,,,,,,
Canadian Police College,College canadien de police,http://www.cpc.gc.ca/index-eng.htm,,,,,,
National Research Council,Conseil national de recherches Canada,https://nrc.canada.ca/en/,,,,,,
Royal Canadian Mounted Police,Gendarmerie royale du Canada,northcowichan-duncan.bc.rcmp-grc.gc.ca,,,,,,No french page
Department of Finance,Gouvernement du Canada,fin.canada.ca,,,,,,
EduCanada,EduCanada,www.educanada.ca,,,,,,
Canada Energy Regulator,Régie de l'énergie du Canada,www.cer-rec.gc.ca,,,,,,
Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,www.inspection.gc.ca,,,,,,
Public Safety Canada,Sécurité ublique Canada,www.publicsafety.gc.ca,,,,,,
Gazette du Canada,Gazette du Canada,gazette.gc.ca,,,,,,
Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,https://www.canada.ca/en/government/about/design-system.html,,,,,,Is this also TBS?
Natural Sciences and Engineering Research Council of Canada,Conseil de recherches en sciences naturelles et en g√©nie du Canada,www.nserc-crsng.gc.ca,,,,,,
Public Health Agency of Canada,Agence de la santé publique du Canada,cnphi.canada.ca,,,,,,
Canada Gazette,Gazette du Canada,www.gazette.gc.ca,,,,,,
Royal Canadian Mounted Police,Gendarmerie royale du Canada,cb.rcmp-grc.gc.ca,,,,,,
Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,www.fintrac-canafe.gc.ca,,,,,,
Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec,dec.canada.ca,,,,,,
Canadian Institutes of Health Research,Instituts de recherche en santé du Canada,cihr-irsc.gc.ca,,,,,,
Public Health Agency of Canada,l'Agence de la santé publique du Canada,rcrsp.canada.ca,,,,,,
Canada Gazette,Gazette du Canada,gazetteducanada.gc.ca,,,,,,
Royal Canadian Mounted Police,Gendarmerie royale du Canada,sidney.rcmp-grc.gc.ca,,,,,,
Canadian Grain Commission,Commission canadienne des grains,grainscanada.gc.ca,,,,,,
Social Sciences and Humanities Research Council,Conseil de recherches en sciences humaines,www.sshrc-crsh.gc.ca,,,,,,
Canadian Forces College,Collège des Forces canadiennes,www.cfc.forces.gc.ca,,,,,,
Statistics Canada,Statistique Canada,www.statcan.gc.ca,,,,,,
Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,www.agr.gc.ca,,,,,,
Travel and tourism,Voyage et tourisme,voyage.gc.ca,,,,,,
National Research Council Canada,Conseil national de recherches Canada,cnrc.canada.ca,,,,,,
Office of the Veterans Ombudsman,Bureau de l'Ombudsman  des vétérans,www.veterans-ombudsman.gc.ca,,,,,,
Royal Canadian Mounted Police,Gendarmerie royale du Canada,richmond.rcmp-grc.gc.ca,,,,,,
Canada's International Gateway,Le portail international du Canada,www.canadainternational.gc.ca,,,,,,
"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",www.ic.gc.ca,,,,,,
Elections Canada,Elections Canada,www.elections.ca,,,,,,
Royal Canadian Mounted Police,Gendarmerie royale du Canada,www.rcmp-grc.gc.ca,,,,,,
Indian Oil and Gas Canada,Pétrole et gaz des Indiens du Canada,pgic-iogc.gc.ca,,,,,,
Privy Council Office,Bureau du Conseil privé,orders-in-council.canada.ca,,,,,,
Canadian Dairy Information Centre,Centre canadien d'information laitière,www.dairyinfo.gc.ca,,,,,,
Government of Canada,Gouvernement du Canada,marquecanadabrand.agr.gc.ca,,,,,,
Justice Laws Website,Site Web de la législation (Justice),laws.justice.gc.ca,,,,,,
Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,inspection.gc.ca,,,,,,
Department of Justice,Ministère de la Justice,www.justice.gc.ca,,,,,,
Royal Canadian Mounted Police,Gendarmerie royale du Canada,bc.rcmp-grc.gc.ca,,,,,,
Royal Canadian Mounted Police,Gendarmerie royale du Canada,coquitlam.rcmp-grc.gc.ca,,,,,,
Government of Canada,Gouvernement du Canada,www1.canada.ca,,,,,,
Canadian Centre for Cyber Security,Centre canadien pour la cybersécurité,www.cyber.gc.ca,,,,,,
Parks Canada Agency,Parcs Canada,www.pc.gc.ca/en,,,,,,
Global Affairs Canada,N/A,travel.gc.ca,,,,,,
N/A,Affaires mondiales Canada,voyage.gc.ca/destinations,,,,,,
Public Health Agency of Canada,N/A,www.canada.ca/en/public-health,,,,,,
N/A,Agence de la santé publique du Canada,www.canada.ca/fr/sante-publique.html,,,,,,
Health Canada,N/A,www.canada.ca/en/health-canada,,,,,,
N/A,Santé Canada,www.canada.ca/fr/sante-canada.html,,,,,,
"Immigration, Refugees and Citizenship Canada",N/A,www.canada.ca/en/immigration-refugees-citizenship,,,,,,
Employment and Social Development Canada,N/A,www.canada.ca/en/employment-social-development,,,,,,
Employment and Social Development Canada,N/A,www.canada.ca/en/services/benefits/ei,,,,,,
Indigenous Services Canada,N/A,www.canada.ca/en/indigenous-services-canada,,,,,,
Canada Revenue Agency,N/A,www.canada.ca/en/revenue-agency,,,,,,
