,Legal FR,Legal EN,Applied FR,Applied EN,Abbrev FR,Abbrev EN
,Gouvernement du Canada,Government of Canada,Gouvernement du Canada,Government of Canada,GC,GC
- ,Secrétariat du Conseil du Trésor,Treasury Board Secretariat,Secrétariat du Conseil du Trésor du Canada,Treasury Board of Canada Secretariat,SCT,TBS
I ,Conseil du Trésor,Treasury Board, , ,CT,TB
I ,Ministère de l'Agriculture et de l'Agroalimentaire,Department of Agriculture and Agri-Food,Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada,AAC,AAFC
I ,Ministère de l'Emploi et du Développement social,Department of Employment and Social Development,Emploi et Développement social Canada,Employment and Social Development Canada,EDSC,ESDC
I ,Ministère de l'Environnement,Department of the Environment,Environnement et Changement climatique Canada,Environment and Climate Change Canada,ECCC,ECCC
I ,Ministère de l'Industrie,Department of Industry,"Innovation, Sciences et Développement économique Canada","Innovation, Science and Economic Development Canada",ISDE,ISED
I ,Ministère de la Citoyenneté et de l'Immigration,Department of Citizenship and Immigration,"Immigration, Réfugiés et Citoyenneté Canada","Immigration, Refugees and Citizenship Canada",IRCC,IRCC
I ,Ministère de la Défense nationale,Department of National Defence,Défense nationale,National Defence,MDN,DND
I ,Ministère de la Diversification de l'économie de l'Ouest canadien,Department of Western Economic Diversification,Diversification de l'économie de l'Ouest Canada,Western Economic Diversification Canada,DEO,WD
I ,Ministère de la Justice,Department of Justice,Ministère de la Justice Canada,Department of Justice Canada,JUS,JUS
I ,Ministère de la Santé,Department of Health,Santé Canada,Health Canada,SC,HC
I ,Ministère de la Sécurité publique et de la Protection civile,Department of Public Safety and Emergency Preparedness,Sécurité publique Canada,Public Safety Canada,SP,PS
I ,"Ministère des Affaires étrangères, du Commerce et du Développement","Department of Foreign Affairs, Trade and Development",Affaires mondiales Canada,Global Affairs Canada,AMC,GAC
I ,Ministère des Anciens Combattants,Department of Veterans Affairs,Anciens Combattants Canada,Veterans Affairs Canada,ACC,VAC
I ,Ministère des Femmes et de l'Égalité des genres,Department for Women and Gender Equality,Femmes et Égalité des genres Canada,Women and Gender Equality Canada,FEGC,WAGE
I ,Ministère des Finances,Department of Finance,Ministère des Finances Canada,Department of Finance Canada,FIN,FIN
I ,Ministère des Pêches et des Océans,Department of Fisheries and Oceans,Pêches et Océans Canada,Fisheries and Oceans Canada,MPO,DFO
I ,Ministère des Relations Couronne-Autochtones et des Affaires du Nord,Department of Crown-Indigenous Relations and Northern Affairs,Relations Couronne-Autochtones et Affaires du Nord Canada,Crown-Indigenous Relations and Northern Affairs Canada,RCAANC,CIRNAC
I ,Ministère des Ressources naturelles,Department of Natural Resources,Ressources naturelles Canada,Natural Resources Canada,RNCan,NRCan
I ,Ministère des Services aux Autochtones,Department of Indigenous Services,Services aux Autochtones Canada,Indigenous Services Canada,SAC,ISC
I ,Ministère des Transports,Department of Transport,Transports Canada,Transport Canada,TC,TC
I ,Ministère des Travaux publics et des Services gouvernementaux,Department of Public Works and Government Services,Services publics et Approvisionnement Canada,Public Services and Procurement Canada,SPAC,PSPC
I ,Ministère du Patrimoine canadien,Department of Canadian Heritage,Patrimoine canadien,Canadian Heritage,PCH,PCH
I.1 ,Administration du pipe­-line du Nord,Northern Pipeline Agency,Administration du pipe-line du Nord Canada,Northern Pipeline Agency Canada,APN,NPA
I.1 ,Agence canadienne d'évaluation d'impact,Impact Assessment Agency of Canada,Agence d'évaluation d'impact du Canada,Impact Assessment Agency of Canada,AEIC,IAAC
I.1 ,Agence canadienne de développement économique du Nord ,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord,Canadian Northern Economic Development Agency,CanNor,CanNor
I.1 ,Agence de développement économique du Canada pour les régions du Québec,Economic Development Agency of Canada for the Regions of Quebec,Développement économique Canada pour les régions du Québec,Canada Economic Development for Quebec Regions,DEC,CED
I.1 ,Agence de la consommation en matière financière du Canada,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada,Financial Consumer Agency of Canada,ACFC,FCAC
I.1 ,Agence de la santé publique du Canada,Public Health Agency of Canada,Agence de la santé publique du Canada,Public Health Agency of Canada,ASPC,PHAC
I.1 ,Agence de promotion économique du Canada atlantique,Atlantic Canada Opportunities Agency, , ,APECA,ACOA
I.1 ,Agence fédérale de développement économique pour le Sud de l'Ontario,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario,Federal Economic Development Agency for Southern Ontario,FedDev Ontario,FedDev Ontario
I.1 ,Agence spatiale canadienne,Canadian Space Agency,Agence spatiale canadienne,Canadian Space Agency,ASC,CSA
I.1 ,Bibliothèque et Archives du Canada,Library and Archives of Canada,Bibliothèque et Archives Canada,Library and Archives Canada,BAC,LAC
I.1 ,Bureau de l'enquêteur correctionnel du Canada,Office of the Correctional Investigator of Canada,L'Enquêteur correctionnel Canada,The Correctional Investigator Canada,BEC,OCI
I.1 ,Bureau de l'infrastructure du Canada,Office of Infrastructure of Canada,Infrastructure Canada,Infrastructure Canada,INFC,INFC
I.1 ,Bureau du Conseil privé,Privy Council Office,Bureau du Conseil privé Note de base de page 2,Privy Council Office Note de base de page 2,BCP,PCO
I.1 ,Bureau du commissaire à la magistrature fédérale,Office of the Commissioner for Federal Judicial Affairs,Commissariat à la magistrature fédérale Canada,Office of the Commissioner for Federal Judicial Affairs Canada,CMF,FJA
I.1 ,Bureau du commissaire au renseignement,Office of the Intelligence Commissioner, , , , 
I.1 ,Bureau du directeur des poursuites pénales,Office of the Director of Public Prosecutions,Service des poursuites pénales du Canada,Public Prosecution Service of Canada,SPPC,PPSC
I.1 ,Bureau du directeur général des élections,Office of the Chief Electoral Officer, , ,elections,elections
I.1 ,Bureau du secrétaire du gouverneur général,Office of the Governor General's Secretary,Bureau du secrétaire du gouverneur général,Office of the Secretary to the Governor General,BSGG,OSGG
I.1 ,Bureau du surintendant des institutions financières,Office of the Superintendent of Financial Institutions,Bureau du surintendant des institutions financières Canada,Office of the Superintendent of Financial Institutions Canada,BSIF,OSFI
I.1 ,Bureau du vérificateur général,Office of the Auditor General,Bureau du vérificateur général du Canada,Office of the Auditor General of Canada,BVG,OAG
I.1 ,Centre d'analyse des opérations et déclarations financières du Canada,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,Financial Transactions and Reports Analysis Centre of Canada,CANAFE,FINTRAC
I.1 ,Centre de la sécurité des télécommunications,Communications Security Establishment,Centre de la sécurité des télécommunications Canada,Communications Security Establishment Canada,CSTC,CSEC
I.1 ,Comité externe d'examen des griefs militaires,Military Grievances External Review Committee,Comité externe d'examen des griefs militaires,Military Grievances External Review Committee,CEEGM,MGERC
I.1 ,Comité externe d’examen de la Gendarmerie royale du Canada,Royal Canadian Mounted Police External Review Committee,Comité externe d'examen de la GRC,RCMP External Review Committee,CEE,ERC
I.1 ,Commissariat à l'intégrité du secteur public,Office of the Public Sector Integrity Commissioner,Commissariat à l'intégrité du secteur public du Canada,Office of the Public Sector Integrity Commissioner of Canada,ISPC,PSIC
I.1 ,Commissariat au lobbying,Office of the Commissioner of Lobbying,Commissariat au lobbying du Canada,Office of the Commissioner of Lobbying of Canada,CAL,OCL
I.1 ,Commissariat aux langues officielles,Office of the Commissioner of Official Languages, , ,CLO,OCOL
I.1 ,Commissariats à l'information et à la protection de la vie privée au Canada,Offices of the Information and Privacy Commissioners of Canada, , ,CI,OIC
I.1 ,Commissariats à l'information et à la protection de la vie privée au Canada,Offices of the Information and Privacy Commissioners of Canada, , ,CPVP,OPC
I.1 ,Commission canadienne des droits de la personne,Canadian Human Rights Commission, , ,CCDP,CHRC
I.1 ,Commission canadienne des grains,Canadian Grain Commission, , ,CCG,CGC
I.1 ,Commission civile d’examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada ,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,Commission civile d’examen et de traitement des plaintes relatives à la GRC,Civilian Review and Complaints Commission for the RCMP,CCETP,CRCC
I.1 ,Commission d'examen des plaintes concernant la police militaire,Military Police Complaints Commission,Commission d'examen des plaintes concernant la police militaire du Canada,Military Police Complaints Commission of Canada,CPPM,MPCC
I.1 ,Commission de l'immigration et du statut de réfugié,Immigration and Refugee Board,Commission de l'immigration et du statut de réfugié du Canada,Immigration and Refugee Board of Canada,CISR,IRB
I.1 ,Commission de la fonction publique,Public Service Commission,Commission de la fonction publique du Canada,Public Service Commission of Canada,CFP,PSC
I.1 ,Commission des débats des chefs,Leaders' Debates Commission , , , , 
I.1 ,Commission des libérations conditionnelles du Canada,Parole Board of Canada,Commission des libérations conditionnelles du Canada,Parole Board of Canada,CLCC,PBC
I.1 ,Commission du droit d'auteur,Copyright Board,Commission du droit d'auteur Canada,Copyright Board Canada,CDA,CB
I.1 ,Conseil d'examen du prix des médicaments brevetés,Patented Medicine Prices Review Board,Conseil d'examen du prix des médicaments brevetés Canada,Patented Medicine Prices Review Board Canada,CEPMB,PMPRB
I.1 ,Conseil de la radiodiffusion et des télécommunications canadiennes,Canadian Radio­television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes,Canadian Radio-television and Telecommunications Commission,CRTC,CRTC
I.1 ,Conseil national des produits agricoles,National Farm Products Council,Conseil des produits agricoles du Canada,Farm Products Council of Canada,CPAC,FPCC
I.1 ,Gendarmerie royale du Canada,Royal Canadian Mounted Police, , ,GRC,RCMP
I.1 ,Office des transports du Canada,Canadian Transportation Agency,Office des transports du Canada,Canadian Transportation Agency,OTC,CTA
I.1 ,Office national du film,National Film Board, , ,ONF,NFB
I.1 ,Registraire de la Cour suprême du Canada et le secteur de l'administration publique fédérale nommé en vertu du paragraphe 12(2) de la Loi sur la Cour suprême,Registrar of the Supreme Court of Canada and that portion of the federal public administration appointed under subsection 12(2) of the Supreme Court Act, , ,CSC,SCC
