Theme/Department,Title,URL,Content Type(s),Sub-Topics,Modified Date,Language
Santé,Lignes directrices à l’intention des fournisseurs de services aux personnes en situation d’itinérance (dans le contexte de la COVID-19),https://www.canada.ca/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/document-orientation/itinerance.html,Substantive,"Description: Lignes directrices à l’intention des fournisseurs de services aux personnes en situation d’itinérance en relation avec la COVID-19.  Les personnes en situation d'itinérance peuvent courir un risque accru de contracter la COVID-19 ou de développer des complications dues à COVID-19.

Page title: Lignes directrices à l’intention des fournisseurs de services aux personnes en situation d’itinérance (dans le contexte de la COVID-19)
H1: Lignes directrices à l’intention des fournisseurs de services aux personnes en situation d’itinérance (dans le contexte de la COVID-19)
Keywords: Lignes directrices, fournisseurs de services, personnes en situation d’itinérance, coronavirus, COVID-19, corona, Canada, distanciation sociale, éloignement social, auto-isolement, pandémie, planification, intervention, épidémie, communauté, rétablissement, Autorités de santé publique, à risque, organisations communautaires, centres d’hébergement, centres de jour, services de repas
",2020-03-24 15:02:32,fr
N/A,Paiements et comptes commerciaux - Ressources,https://www.cbsa-asfc.gc.ca/prog/arl-glcc/res-fra.html,Links to Covid pages,,2020-03-27T00:00:00Z,fr
N/A,Divulgation proactive - Conseil de recherches en sciences humaine,https://www.sshrc-crsh.gc.ca/transparency-transparence/disclosure-divulgation/expenses-depenses/2007/taylor_expenses-depenses_j2007-fra.aspx,Links to Covid pages,,2012-11-29T00:00:00Z,fr
Health,Epidemiological summary of COVID-19 cases in Canada,https://www.canada.ca/en/public-health/services/diseases/2019-novel-coronavirus-infection/health-professionals/epidemiological-summary-covid-19-cases.html,Substantive,"Description: Epidemiological summary of COVID-19 cases in Canada including geographical and temporal distribution, demographics, symptoms and severity, probable exposure and provincial and territorial reporting.
Name: epidemiological-summary-covid-19-cases
Page title: Epidemiological summary of COVID-19 cases in Canada
H1: Epidemiological summary of COVID-19 cases in Canada
Keywords: coronavirus, COVID-19, corona, Canada, social distancing, self-isolate, pandemic, epidemiology, cases, geography, temporal, distribution, symptoms, severity, probable exposure setting, travel, close contact, community setting, provincial, territorial, reporting
",2020-03-30 15:09:51,en
N/A,Gazette du Canada –,http://gazetteducanada.gc.ca/rp-pr/p2/2017/2017-12-27/html/sor-dors282-fra.html,Links to Covid pages,,,fr
N/A,Canada Savings Bonds,https://www.csb.gc.ca/,Links to Covid pages,,,en
N/A,Proactive Disclosure - Social Sciences and Humanities Research Council,https://www.sshrc-crsh.gc.ca/transparency-transparence/disclosure-divulgation/expenses-depenses/2007/cavallin_hospitality-accueil_s2007-eng.aspx,Links to Covid pages,,2012-11-29T00:00:00Z,en
Santé,L'administratrice en chef de la santé publique et le sous-administrateur en chef de la santé publique tiendront un point de presse sur un nouveau coronavirus,https://www.canada.ca/fr/sante-publique/nouvelles/2020/01/ladministratrice-en-chef-de-la-sante-publique-et-le-sous-administrateur-en-chef-de-la-sante-publique-tiendront-un-point-de-presse-sur-un-nouveau-co.html,Substantive,"Description: L'administratrice en chef de la santé publique et le sous-administrateur en chef de la santé publique tiendront un point de presse sur un nouveau coronavirus
Page title: L'administratrice en chef de la santé publique et le sous-administrateur en chef de la santé publique tiendront un point de presse sur un nouveau coronavirus
",2020-01-23 14:15:04,fra
N/A,Guide sur l’admissibilité des dépenses possibles pour la COVID-19,https://www.international.gc.ca/development-developpement/partners-partenaires/bt-oa/guidance-covid-guide.aspx?lang=fra,Substantive,"Title: Guide sur l’admissibilité des dépenses possibles pour la COVID-19
H2: Guide sur l’admissibilité des dépenses possibles pour la COVID-19; Lignes directrices générales
",2020-03-30T00:00:00Z,fr
N/A,Coronavirus (COVID-19) and your visit to Rouge National Urban Park - Rouge National Urban Park,https://www.pc.gc.ca/en/pn-np/on/rouge/visit/covid-19-info,Substantive,"Title: Coronavirus (COVID-19) and your visit to Rouge National Urban Park - Rouge National Urban Park
H2: Coronavirus (COVID-19) and your visit to Rouge National Urban Park
desc: Learn how COVID-19 may affect your visit.
",2020-03-27T00:00:00Z,en
