Publisher organization name,English,French
treasury-board-secretariat,Treasury Board Secretariat,Secrétariat du Conseil du Trésor
department-of-employment-and-social-development,Department of Employment and Social Development,Ministère de l'Emploi et du Développement social
department-of-the-environment,Department of the Environment,Ministère de l'Environnement
department-of-industry,Department of Industry,Ministère de l'Industrie
department-of-citizenship-and-immigration,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l'Immigration
national-defence-canadian-armed-forces-ombudsman,Department of National Defence,Ministère de la Défense nationale
western-economic-diversification,Department of Western Economic Diversification,Ministère de la Diversification de l'économie de l'Ouest canadien
department-of-health,Department of Health,Ministère de la Santé
public-safety-canada,Department of Public Safety and Emergency Preparedness,Ministère de la Sécurité publique et de la Protection civile
veterans-affairs-canada,Department of Veterans Affairs,Ministère des Anciens Combattants
natural-resources-canada,Department of Natural Resources,Ministère des Ressources naturelles
indigenous-services-canada,Department of Indigenous Services,Ministère des Services aux Autochtones
department-of-transport,Department of Transport,Ministère des Transports
department-of-public-works-and-government-services,Department of Public Works and Government Services,Ministère des Travaux publics et des Services gouvernementaux
canadian-heritage,Department of Canadian Heritage,Ministère du Patrimoine canadien
impact-assessment-agency,Impact Assessment Agency of Canada,Agence canadienne d'évaluation d'impact
canadian-northern-economic-development-agency,Canadian Northern Economic Development Agency,"Agence canadienne de développement économique du Nord "
financial-consumer-agency,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada
public-health-agency-of-canada,Public Health Agency of Canada,Agence de la santé publique du Canada
atlantic-canada-opportunities,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
space-agency,Canadian Space Agency,Agence spatiale canadienne
office-of-the-correctional-investigator-of-canada,Office of the Correctional Investigator of Canada,Bureau de l'enquêteur correctionnel du Canada
privy-council,Privy Council Office,Bureau du Conseil privé
office-of-the-intelligence-commissioner,Office of the Intelligence Commissioner,Bureau du commissaire au renseignement
public-prosecution,Office of the Director of Public Prosecutions,Bureau du directeur des poursuites pénales
communications-security,Communications Security Establishment,Centre de la sécurité des télécommunications
military-grievances-external-review,Military Grievances External Review Committee,Comité externe d'examen des griefs militaires
rcmp-external-review-committee,Royal Canadian Mounted Police External Review Committee,Comité externe d’examen de la Gendarmerie royale du Canada
human-rights-commission,Canadian Human Rights Commission,Commission canadienne des droits de la personne
grain-commission,Canadian Grain Commission,Commission canadienne des grains
military-police-complaints,Military Police Complaints Commission,Commission d'examen des plaintes concernant la police militaire
public-service-commission,Public Service Commission,Commission de la fonction publique
parole-board,Parole Board of Canada,Commission des libérations conditionnelles du Canada
patented-medicine-prices-review-board,Patented Medicine Prices Review Board,Conseil d'examen du prix des médicaments brevetés
farm-products-council,National Farm Products Council,Conseil national des produits agricoles
transportation-agency,Canadian Transportation Agency,Office des transports du Canada
national-film-board,National Film Board,Office national du film
administrative-tribunals-support-service,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
canadian-security-intelligence-service,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité
correctional-service,Correctional Service of Canada,Service correctionnel du Canada
shared-services,Shared Services Canada,Services partagés Canada
statistics-canada,Statistics Canada,Statistique Canada
parks-canada,Parks Canada Agency,Agence Parcs Canada
food-inspection-agency,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
canada-border-services-agency,Canada Border Services Agency,Agence des services frontaliers du Canada
revenue-agency,Canada Revenue Agency,Agence du revenu du Canada
canadian-transportation-accident-investigation-and-safety-board,Canadian Transportation Accident Investigation and Safety Board,Bureau canadien d'enquête sur les accidents de transport et de la sécurité des transports
canadian-centre-for-occupational-health-and-safety,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail
canadian-nuclear-safety-commission,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
canada-employment-insurance-commission,Canada Employment Insurance Commission,Commission de l'assurance-emploi du Canada
national-battlefields-commission,The National Battlefields Commission,Commission des champs de bataille nationaux
national-research-council,National Research Council of Canada,Conseil national de recherches du Canada
canadian-accessibility-standards-development-organization,Canadian Accessibility Standards Development Organization,Organisation canadienne d'élaboration de normes d'accessibilité
polar-knowledge,Canadian High Arctic Research Station,Station canadienne de recherche dans l’Extrême-Arctique
canada-infrastructure-bank,Canada Infrastructure Bank,Banque de l’infrastructure du Canada
research-chairs,Entreprise autochtone Canada,Aboriginal Business Canada
research-chairs,"Commission d'appel, Loi sur le contrôle des renseignements relatifs aux matières dangereuses","Appeal Board, Hazardous Materials Information Review Act"
research-chairs,Commission de révision agricole du Canada,Canada Agricultural Review Tribunal
research-chairs,Musée de l'agriculture et de l'alimentation du Canada,Canada Agriculture and Food Museum
research-chairs,Musée de l'aviation et de l'espace du Canada,Canada Aviation and Space Museum
research-chairs,Centre canadien des eaux intérieures,Canada Centre for Inland Waters
research-chairs,Centre des armes à feu Canada,Canada Firearms Centre
research-chairs,Conseil canadien des relations industrielles,Canada Industrial Relations Board
research-chairs,Chaires de recherche du Canada,Canada Research Chairs
research-chairs,Garde côtière canadienne Footnote 1,Canadian Coast Guard Footnote 1
research-chairs,Institut canadien de conservation,Canadian Conservation Institute
research-chairs,Office de la propriété intellectuelle du Canada,Canadian Intellectual Property Office
research-chairs,Musée canadien de la photographie contemporaine,Canadian Museum of Contemporary Photography
research-chairs,Musée canadien de la guerre,Canadian War Museum
research-chairs,Centre de recherches sur les communications Canada,Communications Research Centre Canada
research-chairs,Bureau de la concurrence Canada,Competition Bureau Canada
research-chairs,Recherche et développement pour la Défense Canada,Defence Research and Development Canada
research-chairs,Tribunal de la protection de I'environnement du Canada,Environmental Protection Tribunal of Canada
research-chairs,La commission de toponymie du Canada,Geographical Names Board of Canada
research-chairs,Commission géologique du Canada Footnote 5,Geological Survey of Canada Footnote 5
research-chairs,Géomatique Canada Footnote 5,Geomatics Canada Footnote 5
research-chairs,Commission des lieux et monuments historiques du Canada,Historic Sites and Monuments Board of Canada
research-chairs,Tribunal des droits de la personne du Canada,Human Rights Tribunal of Canada
research-chairs,Résolution des questions des pensionnats indiens Canada,Indian Residential Schools Resolution Canada
research-chairs,Mesures Canada,Measurement Canada
research-chairs,Commission d'indemnisation des marins marchands du Canada,Merchant Seamen Compensation Board Canada
research-chairs,Conseil consultatif national sur le troisième âge Footnote 4,National Advisory Council on Aging Footnote 4
research-chairs,Conseil national du Bien-être Footnote 4,National Council of Welfare Footnote 4
research-chairs,Tribunal de santé et sécurité au travail Canada,Occupational Health and Safety Tribunal Canada
research-chairs,Bureau du conseiller scientifique en chef du Canada,Office of the Chief Science Advisor of Canada
research-chairs,Bureau du surintendant des faillites Canada,Office of the Superintendent of Bankruptcy Canada
research-chairs,Passeport Canada,Passport Canada
research-chairs,Horizons de politiques Canada,Policy Horizons Canada
research-chairs,Administration de rétablissement agricole des Prairies Footnote 3,Prairie Farm Rehabilitation Administration Footnote 3
research-chairs,Tribunal de la protection des fonctionnaires divulgateurs Canada,Public Servants Disclosure Protection Tribunal Canada
research-chairs,Commission des relations de travail et de l'emploi dans la fonction publique,Public Service Labour Relations and Employment Board
research-chairs,Greffe du Tribunal des revendications particulières du Canada,Registry of the Specific Claims Tribunal of Canada
research-chairs,Service Canada,Service Canada
research-chairs,Caisse d'indemnisation des dommages dus à la pollution par les hydrocarbures causée par les navires Footnote 4,Ship-source Oil Pollution Fund Footnote 4
research-chairs,Tribunal de la sécurité sociale du Canada,Social Security Tribunal of Canada
research-chairs,Commission de révision des lois Canada,Statute Revision Commission Canada
research-chairs,Tribunal d'appel des transports du Canada,Transportation Appeal Tribunal of Canada
