Department English,Department French,URLs
Canadian Army,Armée canadienne,www.army-armee.forces.gc.ca
"Innovation, Science and Economic Development Canada",N/A,https://www.canada.ca/en/innovation-science-economic-development
Treasury Board of Canada Secretariat,,https://www.canada.ca/en/government/system/digital-government/living-digital/covid-special-articles/spilling-the-tea-with-my-boss.html
Canadian Police College,,http://www.cpc-ccp.gc.ca/news-nouvelles/2020/03-20-eng.htm
Transport Canada,,https://www.canada.ca/en/transport-canada/news/2020/04/the-government-of-canada-announces-new-measures-for-ferries-and-commercial-passenger-vessels-capable-of-carrying-more-than-12-passengers.html
"",Commission des libérations conditionnelles du Canada,https://www.canada.ca/fr/commission-liberations-conditionnelles/services/coronavirus-covid-19/facilitation-de-la-participation-des-victimes-aux-audiences-de-la-clcc.html
"",Infrastructure Canada,https://www.canada.ca/fr/bureau-infrastructure/nouvelles/2020/07/le-canada-et-la-colombie-britannique-investissent-dans-les-infrastructures-de-linterieur-pour-creer-des-emplois-et-renforcer-les-collectivites.html
"",Service Canada,https://www.canada.ca/fr/services/prestations/education/pcue-info.html
Infrastructure Canada,,https://www.canada.ca/en/office-infrastructure/news/2020/07/ackgrounder-canada-and-ontario-invest-in-roads-and-bridges-connecting-rural-communities-in-southwestern-ontario.html
Infrastructure Canada,,https://www.canada.ca/en/office-infrastructure/news/2020/07/media-advisory--welland-ontario.html
Infrastructure Canada,,https://www.canada.ca/en/office-infrastructure/news/2020/06/supporting-communities-and-restarting-local-economies-across-newfoundland-and-labrador.html
"",Infrastructure Canada,https://www.canada.ca/fr/bureau-infrastructure/nouvelles/2020/07/le-canada-et-lile-du-prince-edouard-investissent-dans-une-nouvelle-ligne-de-transport-denergie-pour-soutenir-la-production-denergie-eolienne.html
"",Infrastructure Canada,https://www.canada.ca/fr/bureau-infrastructure/nouvelles/2020/06/le-canada-et-lontario-investissent-dans-les-routes-et-les-ponts-pour-soutenir-les-collectivites-rurales-du-centre-et-de-lest-de-lontario.html
"",Ressources naturelles Canada,https://www.canada.ca/fr/ressources-naturelles-canada/nouvelles/2020/07/le-canada-veut-profiter-de-la-reprise-economique-pour-favoriser-une-croissance-inclusive.html
Public Safety Canada,,https://www.canada.ca/en/public-safety-canada/news/2020/06/goc-continues-fed-supt-to-quebec-covid-19-response-through-partnership-with-canadian-red-cross.html
"",Réfugiés et Citoyenneté Canada,https://www.cic.gc.ca/emp/index-fra.asp
"",Agriculture et Agroalimentaire Canada,https://www.canada.ca/fr/agriculture-agroalimentaire/nouvelles/2020/07/la-ministre-bibeau-annonce-les-noms-des-membres-du-tout-premier-conseil-canadien-de-la-jeunesse-agricole.html
Communications Branch,,https://www.pac.dfo-mpo.gc.ca/sep-pmvs/projects-projets/bqr/qualicum-eng.html
Brigitte Conrad-Avarmaa,,https://www.rmc-cmr.ca/en/update-rmc-and-covid-19
Department of Finance Canada,,https://www.canada.ca/en/department-finance
Health Canada,N/A,www.canada.ca/en/health-canada
Infrastructure Canada,,https://www.canada.ca/en/office-infrastructure/news/2020/07/tyne-valley-residents-to-benefit-from-rebuilt-community-sports-centre.html
Infrastructure Canada,,https://www.canada.ca/en/office-infrastructure/news/2020/06/canada-and-ontario-invest-in-public-transit-infrastructure-for-peterborough-residents.html
"",Secrétariat du Conseil du Trésor du Canada,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/avis-mise-acces-information-protection-renseignements-personnels/2020-01-delais-mesures-attenuation-coronavirus.html
"",Collège militaire royal de Saint-Jean,https://www.cmrsj-rmcsj.forces.gc.ca/maj-upd-covid-fra.asp
"",Secrétariat du Conseil du Trésor du Canada,https://www.canada.ca/fr/gouvernement/systeme/gouvernement-numerique/la-vie-en-numerique/editon-speciale-covid/marathon-non-sprint.html
Infrastructure Canada,,https://www.canada.ca/en/office-infrastructure/news/2020/07/media-advisory---toronto-ontario.html
Canada Border Services Agency,,https://www.canada.ca/en/border-services-agency/news/2020/05/travel-advisory-covid-19-border-measures-at-the-international-peace-garden.html
"",Services aux Autochtones Canada,https://www.canada.ca/fr/services-autochtones-canada/nouvelles/2020/05/seance-dinformation-technique-sur-la-covid-19-dans-les-communautes-autochtones0.html
N/A,Secrétariat du Conseil du Trésor du Canada,www.canada.ca/fr/gouvernement/fonctionpublique
Public Services and Procurement Canada,,https://www.canada.ca/en/public-services-procurement/services/buying-selling-personal-protective-equipment-covid-19-overview.html
"",Ressources naturelles Canada,https://www.canada.ca/fr/ressources-naturelles-canada/nouvelles/2020/06/investir-dans-lavenir-des-jeunes-grace-a-des-emplois-verts-dans-les-ressources-naturelles.html
