Field Name,Occurences,Sample Value 1,Sample Value 2,Sample Value 3,Sample Value 4,Sample Value 5
Abstract,14,Announcement of Valour recipients.,Captain (N) Chris Henderson discusses the impact of embedded media on operations.,"Dr. Sean Maloney discusses what was International Security Assistance Forces created to do both ostensibly and actually, how it evolved, and it’s future.  ",Doctor Tim Mau and Alexander Wooley propose a new integrative model for assessing military leadership.,"Lieutenant-General Ken Pennie explains the air force vision, examining some  of the key concepts and assumptions that underlie it, as well as the vectors  to achieve that vision."
Accept-Ranges,2306,bytes,,,,
Access-Control-Allow-Headers,156,"Access-Control-Allow-Headers, Origin, Accept, X-Requested-With, Content-Type, Access-Control-Request-Method, Access-Control-Request-Headers","Origin, X-Requested-With, Content-Type, Accept","Origin, Content-Type, X-Auth-Token, X-Requested-By, X-Requested-With",Content-Type,
Access-Control-Allow-Methods,156,"GET, POST, OPTIONS","GET, HEAD, OPTIONS, POST, PUT, DELETE","GET,PUT,POST,OPTIONS","GET, POST, PATCH, PUT, DELETE, OPTIONS",
Access-Control-Allow-Origin,2593,*.gc.ca,https://intra.nrc-cnrc.gc.ca,*,https://otc-cta.gc.ca,https://www.youtube.com
Access-Control-Allow-Origins,101,*,,,,
Access-Control-Expose-Headers,38,Request-Context,,,,
Age,285,0,32036,39157,30666,
Akamai-Age-Ms,10,1587720029306,1587725921528,1587717725403,1587725209787,1587725939016
Arr-Disable-Session-Affinity,85,true,,,,
Assessment Start Date,3,14/03/2018 12:00:00 AM,28/06/2019 12:00:00 AM,21/02/2020 12:00:00 AM,,
Assessment Type,3,Project on federal lands,Environmental assessment under CEAA 2012,,,
Author,16,David Bashow,Dr. Sean Maloney,Lieutenant-General Ken Pennie,Doctor Tim Mau and Alexander Wooley,Andrew J. Duncan
CF-Cache-Status,1,DYNAMIC,,,,
CF-RAY,1,588f76d21a77f232-ORD,,,,
Cache-Control,3040,"public, no-store, max-age=0",private,"max-age=0, no-cache, no-store","max-age=300, public",no-cache
Cache-control,179,no-cache,,,,
ChairTitle,1,Canada Research Chair in RNA & Protein Biophysics,,,,
Chroma BackgroundColor,1,"red=255, green=255, blue=255",,,,
Chroma BlackIsZero,6,true,,,,
Chroma ColorSpaceType,6,RGB,,,,
Chroma NumChannels,6,4,,,,
Compression CompressionTypeName,6,deflate,,,,
Compression Lossless,6,true,,,,
Compression NumProgressiveScans,6,1,,,,
Connection,3471,Keep-Alive,keep-alive,"Upgrade, Keep-Alive",close,
Content-Encoding,6101,ISO-8859-1,UTF-8,windows-1252,US-ASCII,
Content-Language,792,en-CA,en-US,en,,
Content-Length,6101,138050,32235,46445,26574,122939
Content-Location,6101,https://www.canada.ca/en/employment-social-development/news/2020/04/canada-emergency-response-benefit-to-launch-on-april-6.html,https://www.canada.ca/en/department-finance/economic-response-plan.html,https://www.canada.ca/en/services/benefits/ei/cerb-application.html,https://www.canada.ca/en/employment-social-development/corporate/notices/coronavirus.html,https://www.canada.ca/en/revenue-agency/services/benefits/apply-for-cerb-with-cra.html
Content-Script-Type,58,text/javascript,,,,
Content-Security-Policy,402,frame-ancestors 'self',frame-ancestors 'self';,default-src 'self' 'unsafe-inline' *.open.canada.ca *.canada.ca *.gc.ca www.youtube.com youtube.com platform.twitter.com syndication.twitter.com *.demdex.net *.omtrdc.net epsg.io *.google-analytics.com *.googletagmanager.com *.gov.bc.ca governmentofbc.maps.arcgis.com *.maps.alberta.ca geodiscover.alberta.ca;         script-src 'self' 'unsafe-inline' 'unsafe-eval' *.open.canada.ca *.canada.ca webservices.maps.canada.ca *.google-analytics.com ajax.googleapis.com js.arcgis.com *.gc.ca *.geosciences.ca *.epsg.i,img-src 'self' *.canada.ca data: 'unsafe-inline' ; script-src 'self' *.canada.ca 'unsafe-inline' 'unsafe-eval' ; frame-src 'self' http://www.canada.ca; font-src 'self' *.canada.ca https://cdnjs.cloudflare.com data: ; media-src 'none' ; connect-src 'self' *.canada.ca *.hc-sc.gc.ca ; form-action 'self' *.canada.ca *.hc-sc.gc.ca ; style-src 'self' *.canada.ca https://cdnjs.cloudflare.com 'unsafe-inline' ; default-src 'self' www.canada.ca cdn.canada.ca ;,default-src 'self' 'unsafe-inline' *.open.canada.ca *.canada.ca *.gc.ca www.youtube.com youtube.com platform.twitter.com syndication.twitter.com *.demdex.net *.omtrdc.net epsg.io *.google-analytics.com *.googletagmanager.com *.gov.bc.ca governmentofbc.maps.arcgis.com *.maps.alberta.ca geodiscover.alberta.ca;          script-src 'self' 'unsafe-inline' 'unsafe-eval' *.open.canada.ca *.canada.ca webservices.maps.canada.ca *.google-analytics.com ajax.googleapis.com js.arcgis.com *.gc.ca *.geosciences.ca *.epsg.
Content-Style-Type,63,text/css,,,,
Content-Type,6101,text/html; charset=utf-8,text/html; charset=UTF-8,text/html,text/html;charset=utf-8,text/html;charset=UTF-8
Content-Type-Hint,560,text/html; charset=utf-8,text/html; charset=UTF-8,text/html; charset=us-ascii,text/html; charset=windows-1252,text/html; charset=iso-8859-1
Content-language,33,en,,,,
ContentServer,371,hpvs489,hpvs490,hpvs491,,
Controlled_Subject_Terms,21,,,,,
Cteonnt-Length,39,43410,53450,52554,38236,21711
Data BitsPerSample,6,8 8 8 8,,,,
Data PlanarConfiguration,6,PixelInterleaved,,,,
Data SampleFormat,6,UnsignedIntegral,,,,
Date,6101,"Fri, 24 Apr 2020 10:58:37 GMT","Fri, 24 Apr 2020 10:58:42 GMT","Fri, 24 Apr 2020 10:58:43 GMT","Fri, 24 Apr 2020 10:58:41 GMT","Fri, 24 Apr 2020 10:58:40 GMT"
Date_created,21,2001-04-01,2000-08-24,2001-10-04,,
Date_modified,31,2001-09-01,2002-10-02,2002-10-24,2004-05-06</HEAD><BODY BGCOLOR=,2003-04-25</HEAD><BODY BGCOLOR=
Description,61,"A review of new federal stimulus measures that will take effect in 2010-2011 under Canada's Economic Action Plan, as well as new actions proposed in the Budget to build jobs and growth for the future.","The Budget of Canada outlines the fiscal, social and economic policies and priorities of the Government of Canada, and reflects Government spending obligations and revenue projections for the coming fiscal year.",ARCHIVED - Bell Canada - Revenue requirements for 1993 and 1994,ARCHIVED - Call for comments concerning order in coucil P.C. 1994-1689,ARCHIVED - Introduction to decisions renewing the licences of privately-owned English-language television stations
Dimension HorizontalPixelSize,1,0.35273367,,,,
Dimension ImageOrientation,6,Normal,,,,
Dimension PixelAspectRatio,6,1.0,,,,
Dimension VerticalPixelSize,1,0.35273367,,,,
